,Unnamed: 0,Datetime,Home Team Initials,Away Team Initials,Winner,Home Rank,Away Rank,Host Country,Is Home Host?,Is Away Host?,Rank Change Away,Rank Change Home,Home UEFA,Home CONMEBOL,Home CAF,Home AFC,Home CONCACAF,Home OFC,Away UEFA,Away CONMEBOL,Away CAF,Away AFC,Away CONCACAF,Away OFC
63,63,1998-06-14,YUG,IRN,Home,8,42,FRA,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0
64,64,1998-06-14,JAM,CRO,Away,30,19,FRA,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0
65,65,1998-06-15,ENG,TUN,Home,5,21,FRA,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0
66,66,1998-06-15,ROU,COL,Home,22,10,FRA,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0
67,67,1998-06-15,GER,USA,Home,2,11,FRA,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0
68,68,1998-06-16,SCO,NOR,tie,41,7,FRA,0,0,5,3,1,0,0,0,0,0,1,0,0,0,0,0
69,69,1998-06-16,BRA,MAR,Home,1,13,FRA,0,0,-3,0,0,1,0,0,0,0,0,0,1,0,0,0
70,70,1998-06-17,CHI,AUT,tie,9,31,FRA,0,0,-3,-3,0,1,0,0,0,0,1,0,0,0,0,0
71,71,1998-06-17,ITA,CMR,Home,14,49,FRA,0,0,-1,2,1,0,0,0,0,0,0,0,1,0,0,0
72,72,1998-06-18,RSA,DEN,tie,24,27,FRA,0,0,-7,-3,0,0,1,0,0,0,1,0,0,0,0,0
73,73,1998-06-18,FRA,KSA,Home,18,34,FRA,1,0,4,7,1,0,0,0,0,0,0,0,0,1,0,0
74,74,1998-06-19,NGA,BUL,Home,74,35,FRA,0,0,7,-5,0,0,1,0,0,0,1,0,0,0,0,0
75,75,1998-06-19,ESP,PAR,tie,15,29,FRA,0,0,0,-6,1,0,0,0,0,0,0,1,0,0,0,0
76,76,1998-06-20,JPN,CRO,Away,12,19,FRA,0,0,4,-1,0,0,0,1,0,0,1,0,0,0,0,0
77,77,1998-06-20,BEL,MEX,tie,36,4,FRA,0,0,0,-4,1,0,0,0,0,0,0,0,0,0,1,0
78,78,1998-06-20,NED,KOR,Home,25,20,FRA,0,0,4,-11,1,0,0,0,0,0,0,0,0,1,0,0
79,79,1998-06-21,GER,YUG,tie,2,8,FRA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
80,80,1998-06-21,ARG,JAM,Home,6,30,FRA,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
81,81,1998-06-21,USA,IRN,Away,11,42,FRA,0,0,4,4,0,0,0,0,1,0,0,0,0,1,0,0
82,82,1998-06-22,COL,TUN,Home,10,21,FRA,0,0,5,3,0,1,0,0,0,0,0,0,1,0,0,0
83,83,1998-06-22,ROU,ENG,Home,22,5,FRA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
84,84,1998-06-23,ITA,AUT,Home,14,31,FRA,0,0,-3,2,1,0,0,0,0,0,1,0,0,0,0,0
85,85,1998-06-23,CHI,CMR,tie,9,49,FRA,0,0,-1,-3,0,1,0,0,0,0,0,0,1,0,0,0
